Incident_ID,Date,Year,Month,Day,Role,Victim,Gender,Age,Date_of_Death
2016-0098,2016-07-27,2016,7,27,Driver,Motorcycle,Female,43,
2016-0099,2016-07-29,2016,7,29,Driver,Cargo Vehicle,Male,45,
2016-0100,2016-08-03,2016,8,3,Driver,Motorcycle,Male,57,2016-08-03
2016-0101,2016-08-07,2016,8,7,No Data,No Data,Male,67,
2016-0102,2016-08-10,2016,8,10,Driver,Motorcycle,Male,29,
2016-0104,2016-08-14,2016,8,14,Driver,Motorcycle,Male,21,2016-08-15
2016-0105,2016-08-17,2016,8,17,Pedestrian,Pedestrian,Male,19,2016-08-26
2016-0106,2016-08-19,2016,8,19,Pedestrian,Pedestrian,Male,38,
2016-0107,2016-08-20,2016,8,20,Driver,Motorcycle,Male,21,
2016-0109,2016-08-24,2016,8,24,Driver,Car,Female,53,2016-08-24
2016-0110,2016-08-24,2016,8,24,Pedestrian,Pedestrian,Male,57,
2016-0111,2016-08-25,2016,8,25,Driver,Motorcycle,Male,27,2016-08-25
2016-0112,2016-08-27,2016,8,27,Driver,Motorcycle,Male,24,2016-08-27
2016-0113,2016-08-27,2016,8,27,Pedestrian,Pedestrian,Female,60,
2016-0114,2016-08-31,2016,8,31,Cyclist,Bicycle,Female,55,2016-08-31
2016-0115,2016-09-02,2016,9,2,No Data,No Data,Male,42,
2016-0116,2016-09-02,2016,9,2,Driver,Motorcycle,Male,30,2016-09-02
2016-0117,2016-09-03,2016,9,3,Driver,Car,Male,43,
2016-0118,2016-09-04,2016,9,4,Driver,Car,Male,27,2016-09-04
2016-0119,2016-09-04,2016,9,4,Passenger_Companion,No Data,Female,42,
2016-0122,2016-09-13,2016,9,13,Cyclist,Bicycle,Male,49,2016-09-13
2016-0123,2016-09-14,2016,9,14,Driver,Motorcycle,Female,58,
2016-0124,2016-09-16,2016,9,16,Pedestrian,Pedestrian,Male,67,
2016-0125,2016-09-17,2016,9,17,Driver,Motorcycle,Male,30,
2016-0126,2016-09-18,2016,9,18,Driver,Car,Male,37,
2016-0126,2016-09-18,2016,9,18,Passenger_Companion,Car,Male,60,
2016-0127,2016-09-24,2016,9,24,Pedestrian,Pedestrian,Male,50,
2016-0128,2016-10-02,2016,10,2,Pedestrian,Pedestrian,Female,81,2016-10-02
2016-0130,2016-10-04,2016,10,4,Driver,Motorcycle,Male,29,2016-10-04
2016-0131,2016-10-09,2016,10,9,Pedestrian,Pedestrian,Male,35,
2016-0132,2016-10-10,2016,10,10,Passenger_Companion,Car,Male,30,2016-10-10
2016-0133,2016-10-14,2016,10,14,Driver,Motorcycle,Male,41,2016-10-25
2016-0134,2016-10-23,2016,10,23,Driver,Motorcycle,Male,25,2016-10-23
2016-0135,2016-10-24,2016,10,24,Pedestrian,Pedestrian,Male,29,2016-10-25
2016-0136,2016-10-25,2016,10,25,Driver,Motorcycle,No Data,42,
2016-0137,2016-10-25,2016,10,25,Driver,Motorcycle,Male,30,
2016-0138,2016-10-27,2016,10,27,Cyclist,Bicycle,Female,33,
2016-0139,2016-10-28,2016,10,28,Passenger_Companion,Motorcycle,Female,35,
2016-0140,2016-10-31,2016,10,31,Passenger_Companion,Passengers,Male,20,
2016-0142,2016-11-05,2016,11,5,Driver,Motorcycle,Male,46,2016-11-05
2016-0143,2016-11-06,2016,11,6,Driver,Motorcycle,Male,35,
2016-0144,2016-11-07,2016,11,7,Pedestrian,Pedestrian,Male,83,
2016-0145,2016-11-07,2016,11,7,Driver,Motorcycle,Male,39,2016-11-07
2016-0146,2016-11-09,2016,11,9,Pedestrian,Pedestrian,Female,29,
2016-0147,2016-11-16,2016,11,16,Passenger_Companion,Emergency Vehicle,Male,55,2016-11-16
2016-0148,2016-11-16,2016,11,16,Driver,Motorcycle,Male,42,
2016-0150,2016-11-18,2016,11,18,Passenger_Companion,Cargo Vehicle,Male,41,2016-11-18
2016-0151,2016-11-18,2016,11,18,Pedestrian,Pedestrian,No Data,42,
2016-0152,2016-11-23,2016,11,23,Driver,Motorcycle,Male,42,2016-11-24
2016-0153,2016-11-25,2016,11,25,Pedestrian,Pedestrian,Female,83,2016-11-25
2016-0154,2016-11-26,2016,11,26,Driver,Motorcycle,Male,38,
2016-0155,2016-11-26,2016,11,26,Pedestrian,Pedestrian,Female,29,
2016-0156,2016-11-26,2016,11,26,Driver,Motorcycle,Male,23,2016-11-30
2016-0157,2016-12-03,2016,12,3,Driver,Motorcycle,Male,23,
2016-0159,2016-12-04,2016,12,4,Driver,Car,Male,23,
2016-0160,2016-12-06,2016,12,6,Driver,Cargo Vehicle,Male,29,2016-12-06
2016-0161,2016-12-06,2016,12,6,Pedestrian,Pedestrian,Male,50,2016-12-06
2016-0162,2016-12-07,2016,12,7,Pedestrian,Pedestrian,Male,38,2017-01-01
2016-0163,2016-12-10,2016,12,10,Driver,Motorcycle,Male,23,
2016-0164,2016-12-11,2016,12,11,Driver,Car,Male,29,
2016-0165,2016-12-12,2016,12,12,Cyclist,Bicycle,Male,37,
2016-0168,2016-12-13,2016,12,13,Driver,Motorcycle,Male,43,2016-12-13
2016-0169,2016-12-15,2016,12,15,Driver,Motorcycle,Male,24,2016-12-16
2016-0170,2016-12-19,2016,12,19,Passenger_Companion,Motorcycle,Male,21,2016-12-19
2016-0171,2016-12-25,2016,12,25,Driver,Motorcycle,No Data,42,
2016-0172,2016-12-26,2016,12,26,Driver,Motorcycle,Male,38,2016-12-26
2016-0173,2016-12-26,2016,12,26,Driver,Motorcycle,Male,35,
2016-0174,2016-12-27,2016,12,27,No Data,No Data,No Data,42,
2016-0175,2016-12-27,2016,12,27,Pedestrian,Pedestrian,Female,42,
2016-0176,2016-12-28,2016,12,28,Driver,Motorcycle,Male,28,
