ID_hecho,FECHA,AAAA,MM,DD,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO
2016-0036,14/03/2016,2016,3,14,PASAJERO_ACOMPA¥ANTE,MOTO,MASCULINO,36,14/03/2016
2016-0037,19/03/2016,2016,3,19,CONDUCTOR,MOTO,MASCULINO,20,19/03/2016
2016-0038,21/03/2016,2016,3,21,PEATON,PEATON,MASCULINO,29,21/03/2016
2016-0039,23/03/2016,2016,3,23,CONDUCTOR,MOTO,MASCULINO,20,23/03/2016
2016-0041,29/03/2016,2016,3,29,CONDUCTOR,MOTO,MASCULINO,54,29/03/2016
2016-0041,29/03/2016,2016,3,29,PASAJERO_ACOMPA¥ANTE,MOTO,MASCULINO,SD,30/03/2016
2016-0043,30/03/2016,2016,3,30,PEATON,PEATON,FEMENINO,56,30/03/2016
2016-0044,31/03/2016,2016,3,31,CONDUCTOR,MOTO,MASCULINO,24,31/03/2016
2016-0045,11/04/2016,2016,4,11,CONDUCTOR,MOTO,MASCULINO,SD,SD
2016-0047,15/04/2016,2016,4,15,PEATON,PEATON,MASCULINO,41,15/04/2016
2016-0048,15/04/2016,2016,4,15,PEATON,PEATON,FEMENINO,SD,SD
2016-0049,17/04/2016,2016,4,17,SD,SD,SD,SD,SD
2016-0050,19/04/2016,2016,4,19,PEATON,PEATON,MASCULINO,78,19/04/2016
2016-0051,20/04/2016,2016,4,20,CONDUCTOR,MOTO,MASCULINO,36,20/04/2016
2016-0052,20/04/2016,2016,4,20,SD,MOTO,SD,SD,SD
2016-0053,22/04/2016,2016,4,22,PEATON,PEATON,MASCULINO,38,22/04/2016
2016-0054,23/04/2016,2016,4,23,CONDUCTOR,MOTO,MASCULINO,30,25/04/2016
2016-0055,25/04/2016,2016,4,25,PEATON,PEATON,MASCULINO,79,28/04/2016
2016-0056,26/04/2016,2016,4,26,CONDUCTOR,MOTO,MASCULINO,26,26/04/2016
2016-0058,04/05/2016,2016,5,4,PEATON,PEATON,FEMENINO,57,08/05/2016
2016-0059,08/05/2016,2016,5,8,PEATON,PEATON,MASCULINO,37,26/05/2016
2016-0064,14/05/2016,2016,5,14,PEATON,PEATON,MASCULINO,20,SD
2016-0065,20/05/2016,2016,5,20,PEATON,PEATON,MASCULINO,20,20/05/2016
2016-0067,21/05/2016,2016,5,21,PASAJERO_ACOMPA¥ANTE,MOTO,FEMENINO,30,SD
2016-0068,22/05/2016,2016,5,22,CONDUCTOR,MOTO,MASCULINO,58,SD
2016-0069,23/05/2016,2016,5,23,CONDUCTOR,AUTO,MASCULINO,30,23/05/2016
2016-0073,11/06/2016,2016,6,11,CONDUCTOR,MOTO,MASCULINO,23,SD
2016-0074,12/06/2016,2016,6,12,CONDUCTOR,AUTO,MASCULINO,60,SD
2016-0075,12/06/2016,2016,6,12,PEATON,PEATON,MASCULINO,42,12/06/2016
2016-0076,13/06/2016,2016,6,13,PEATON,PEATON,FEMENINO,53,13/06/2016
2016-0077,13/06/2016,2016,6,13,PEATON,PEATON,FEMENINO,SD,SD
2016-0078,13/06/2016,2016,6,13,CONDUCTOR,MOTO,MASCULINO,30,SD
2016-0079,16/06/2016,2016,6,16,CONDUCTOR,AUTO,FEMENINO,51,SD
2016-0080,18/06/2016,2016,6,18,CONDUCTOR,AUTO,MASCULINO,60,SD
2016-0081,22/06/2016,2016,6,22,CONDUCTOR,MOTO,MASCULINO,40,SD
2016-0082,27/06/2016,2016,6,27,PEATON,PEATON,MASCULINO,87,05/07/2016
2016-0083,28/06/2016,2016,6,28,PEATON,PEATON,FEMENINO,76,29/06/2016
2016-0084,29/06/2016,2016,6,29,PEATON,PEATON,MASCULINO,57,08/07/2016
2016-0085,29/06/2016,2016,6,29,SD,MOTO,MASCULINO,SD,SD
2016-0086,30/06/2016,2016,6,30,PEATON,PEATON,MASCULINO,75,01/07/2016
2016-0087,03/07/2016,2016,7,3,CONDUCTOR,MOTO,MASCULINO,23,03/07/2016
2016-0088,11/07/2016,2016,7,11,PEATON,PEATON,FEMENINO,70,14/07/2016
2016-0089,14/07/2016,2016,7,14,PEATON,PEATON,MASCULINO,35,14/07/2016
2016-0090,14/07/2016,2016,7,14,PEATON,PEATON,MASCULINO,60,15/07/2016
2016-0092,15/07/2016,2016,7,15,CONDUCTOR,MOTO,MASCULINO,24,15/07/2016
2016-0093,17/07/2016,2016,7,17,CONDUCTOR,AUTO,MASCULINO,35,19/07/2016
2016-0095,23/07/2016,2016,7,23,CONDUCTOR,MOTO,MASCULINO,29,23/07/2016
2016-0096,25/07/2016,2016,7,25,CONDUCTOR,MOTO,MASCULINO,SD,SD
2016-0097,26/07/2016,2016,7,26,PEATON,PEATON,MASCULINO,80,12/08/2016
2016-0098,27/07/2016,2016,7,27,CONDUCTOR,MOTO,FEMENINO,43,SD
2016-0099,29/07/2016,2016,7,29,CONDUCTOR,CARGAS,MASCULINO,45,SD
2016-0100,03/08/2016,2016,8,3,CONDUCTOR,MOTO,MASCULINO,57,03/08/2016
2016-0101,07/08/2016,2016,8,7,SD,SD,MASCULINO,67,SD
